line,band_idx,svg_x,mile_from_terminal,abs_mile,carrier,score,has_reception
1,0,564,10.852,9.916,verizon,0.1538,True
1,0,564,10.852,9.916,sprint,0.0,False
1,0,569,10.956,10.02,att,0.0,False
1,0,569,10.956,10.02,tmobile,0.0,False
1,0,569,10.956,10.02,verizon,0.0385,True
1,0,569,10.956,10.02,sprint,0.1154,True
1,0,574,11.06,10.125,att,0.0,False
1,0,574,11.06,10.125,tmobile,0.0385,True
1,0,574,11.06,10.125,verizon,0.0,False
1,0,574,11.06,10.125,sprint,0.0,False
1,0,579,11.165,10.229,att,0.0,False
1,0,579,11.165,10.229,tmobile,0.0,False
1,0,579,11.165,10.229,verizon,0.0,False
1,0,579,11.165,10.229,sprint,0.0,False
1,0,584,11.269,10.333,att,0.0,False
1,0,584,11.269,10.333,tmobile,0.0,False
1,0,584,11.269,10.333,verizon,0.0,False
1,0,584,11.269,10.333,sprint,0.0385,True
1,0,589,11.374,10.438,att,0.0,False
1,0,589,11.374,10.438,tmobile,0.0,False
1,0,589,11.374,10.438,verizon,0.0385,True
1,0,589,11.374,10.438,sprint,0.0,False
1,0,594,11.478,10.542,att,0.0,False
1,0,594,11.478,10.542,tmobile,0.0385,True
1,0,594,11.478,10.542,verizon,0.0,False
1,0,594,11.478,10.542,sprint,0.0,False
1,0,599,11.582,10.646,att,0.0,False
1,0,599,11.582,10.646,tmobile,0.0385,True
1,0,599,11.582,10.646,verizon,0.0769,True
1,0,599,11.582,10.646,sprint,0.0,False
1,0,604,11.687,10.751,att,0.0,False
1,0,604,11.687,10.751,tmobile,0.0,False
1,0,604,11.687,10.751,verizon,0.0385,True
1,0,604,11.687,10.751,sprint,0.0769,True
1,0,609,11.791,10.855,att,0.0,False
1,0,609,11.791,10.855,tmobile,0.0385,True
1,0,609,11.791,10.855,verizon,0.0,False
1,0,609,11.791,10.855,sprint,0.0385,True
1,0,614,11.895,10.959,att,0.0,False
1,0,614,11.895,10.959,tmobile,0.0,False
1,0,614,11.895,10.959,verizon,0.0,False
1,0,614,11.895,10.959,sprint,0.0385,True
1,0,619,12.0,11.064,att,0.0,False
1,0,619,12.0,11.064,tmobile,0.0385,True
1,0,619,12.0,11.064,verizon,0.0769,True
1,0,619,12.0,11.064,sprint,0.0,False
1,0,624,12.104,11.168,att,0.0,False
1,0,624,12.104,11.168,tmobile,0.0,False
1,0,624,12.104,11.168,verizon,0.0385,True
1,0,624,12.104,11.168,sprint,0.0,False
1,0,629,12.208,11.273,att,0.0,False
1,0,629,12.208,11.273,tmobile,0.1538,True
1,0,629,12.208,11.273,verizon,0.1154,True
1,0,629,12.208,11.273,sprint,0.0,False
1,0,634,12.313,11.377,att,0.0,False
1,0,634,12.313,11.377,tmobile,0.0,False
1,0,634,12.313,11.377,verizon,0.0,False
1,0,634,12.313,11.377,sprint,0.0769,True
1,0,639,12.417,11.481,att,0.0,False
1,0,639,12.417,11.481,tmobile,0.0,False
1,0,639,12.417,11.481,verizon,0.0385,True
